DATES,Abiemnhom,Abyei Region,Akobo,Aweil Centre,Aweil East,Aweil North,Aweil South,Aweil West,Awerial,Ayod,Baliet,Bor South,Budi,Canal-Pigi,Cueibet,Duk,Ezo,Fangak,Fashoda,Gogrial East,Gogrial West,Guit,Ibba,Ikotos,Juba,Jur River,Kajo-keji,Kapoeta East,Kapoeta North,Kapoeta South,Koch,Lafon,Lainya,Leer,Longochuk,Maban,Magwi,Maiwut,Malakal,Maridi,Mayendit,Mayom,Melut,Morobo,Mundri East,Mundri West,Mvolo,Nagero,Nyirol,Nzara,Panyijiar,Panyikang,Pariang,Pibor,Pochalla,Raja,Renk,Rubkona,Rumbek Centre,Rumbek East,Rumbek North,Tambura,Terekeka,Tonj East,Tonj North,Tonj South,Torit,Twic,Twic East,Uror,Wau,Wulu,Yambio,Yei,Yirol East,Yirol West
2007-01-01,2.85,2.91,2.99,2.98,2.9,2.91,3.97,2.94,2.55,2.6,2.42,3.55,3.12,2.12,1.98,1.98,1.89,2.6,2.42,3.25,3.25,3.32,1.64,2.95,3.88,11.53,3.88,3.12,3.12,3.12,3.32,2.95,3.88,2.6,2.64,2.64,2.95,2.64,2.12,1.64,2.6,2.85,2.41,3.88,2.55,3.88,1.98,11.53,2.99,1.89,1.98,2.12,2.76,3.46,3.46,2.91,2.38,3.32,1.98,1.98,1.98,1.89,2.55,11.53,11.53,11.53,2.95,2.91,3.55,2.99,11.53,1.98,1.64,3.88,3.55,1.98
2007-02-01,3.04,3.1,3.17,3.23,3.09,3.07,4.22,3.15,2.73,2.78,2.6,3.84,3.33,2.34,2.17,2.17,2.07,2.78,2.6,3.51,3.51,3.63,1.77,3.2,4.23,12.48,4.23,3.33,3.33,3.33,3.63,3.2,4.23,2.78,2.84,2.84,3.2,2.84,2.34,1.77,2.78,3.04,2.6,4.23,2.73,4.23,2.17,12.48,3.17,2.07,2.17,2.34,2.99,3.65,3.65,3.07,2.56,3.63,2.17,2.17,2.17,2.07,2.73,12.48,12.48,12.48,3.2,3.1,3.84,3.17,12.48,2.17,1.77,4.23,3.84,2.17
2007-03-01,3.0,3.08,3.14,3.24,3.07,3.03,4.19,3.11,2.71,2.75,2.56,3.85,3.3,2.33,2.16,2.16,2.06,2.75,2.56,3.48,3.48,3.62,1.75,3.18,4.22,12.54,4.22,3.3,3.3,3.3,3.62,3.18,4.22,2.75,2.81,2.81,3.18,2.81,2.33,1.75,2.75,3.0,2.57,4.22,2.71,4.22,2.16,12.54,3.14,2.06,2.16,2.33,2.99,3.63,3.63,3.03,2.54,3.62,2.16,2.16,2.16,2.06,2.71,12.54,12.54,12.54,3.18,3.08,3.85,3.14,12.54,2.16,1.75,4.22,3.85,2.16
2007-04-01,2.99,3.08,3.13,3.25,3.06,3.02,4.18,3.11,2.7,2.74,2.56,3.85,3.29,2.34,2.17,2.17,2.05,2.74,2.56,3.47,3.47,3.65,1.74,3.16,4.21,12.56,4.21,3.29,3.29,3.29,3.65,3.16,4.21,2.74,2.8,2.8,3.16,2.8,2.34,1.74,2.74,2.99,2.57,4.21,2.7,4.21,2.17,12.56,3.13,2.05,2.17,2.34,2.99,3.61,3.61,3.02,2.53,3.65,2.17,2.17,2.17,2.05,2.7,12.56,12.56,12.56,3.16,3.08,3.85,3.13,12.56,2.17,1.74,4.21,3.85,2.17
2007-05-01,2.98,3.08,3.13,3.25,3.05,3.02,4.18,3.1,2.7,2.73,2.55,3.85,3.28,2.34,2.16,2.16,2.05,2.73,2.55,3.47,3.47,3.63,1.74,3.15,4.2,12.55,4.2,3.28,3.28,3.28,3.63,3.15,4.2,2.73,2.79,2.79,3.15,2.79,2.34,1.74,2.73,2.98,2.56,4.2,2.7,4.2,2.16,12.55,3.13,2.05,2.16,2.34,2.96,3.61,3.61,3.02,2.52,3.63,2.16,2.16,2.16,2.05,2.7,12.55,12.55,12.55,3.15,3.08,3.85,3.13,12.55,2.16,1.74,4.2,3.85,2.16
2007-06-01,2.98,3.08,3.12,3.25,3.05,3.01,4.17,3.09,2.69,2.72,2.54,3.85,3.28,2.34,2.17,2.17,2.05,2.72,2.54,3.46,3.46,3.63,1.73,3.14,4.19,12.55,4.19,3.28,3.28,3.28,3.63,3.14,4.19,2.72,2.78,2.78,3.14,2.78,2.34,1.73,2.72,2.98,2.55,4.19,2.69,4.19,2.17,12.55,3.12,2.05,2.17,2.34,2.93,3.6,3.6,3.01,2.52,3.63,2.17,2.17,2.17,2.05,2.69,12.55,12.55,12.55,3.14,3.08,3.85,3.12,12.55,2.17,1.73,4.19,3.85,2.17
2007-07-01,2.97,3.08,3.11,3.25,3.04,3.01,4.16,3.08,2.68,2.71,2.54,3.85,3.27,2.34,2.16,2.16,2.05,2.71,2.54,3.46,3.46,3.61,1.73,3.13,4.18,12.55,4.18,3.27,3.27,3.27,3.61,3.13,4.18,2.71,2.77,2.77,3.13,2.77,2.34,1.73,2.71,2.97,2.54,4.18,2.68,4.18,2.16,12.55,3.11,2.05,2.16,2.34,2.93,3.59,3.59,3.01,2.51,3.61,2.16,2.16,2.16,2.05,2.68,12.55,12.55,12.55,3.13,3.08,3.85,3.11,12.55,2.16,1.73,4.18,3.85,2.16
2007-08-01,2.97,3.08,3.11,3.25,3.04,3.01,4.16,3.08,2.68,2.71,2.53,3.85,3.26,2.34,2.17,2.17,2.05,2.71,2.53,3.46,3.46,3.6,1.72,3.12,4.18,12.55,4.18,3.26,3.26,3.26,3.6,3.12,4.18,2.71,2.76,2.76,3.12,2.76,2.34,1.72,2.71,2.97,2.54,4.18,2.68,4.18,2.17,12.55,3.11,2.05,2.17,2.34,2.93,3.59,3.59,3.01,2.5,3.6,2.17,2.17,2.17,2.05,2.68,12.55,12.55,12.55,3.12,3.08,3.85,3.11,12.55,2.17,1.72,4.18,3.85,2.17
2007-09-01,3.3,3.4,3.46,3.5,3.36,3.43,4.66,3.41,2.75,2.99,2.78,3.92,3.45,2.45,2.15,2.15,2.06,2.99,2.78,3.82,3.82,3.9,1.71,3.25,4.28,13.36,4.28,3.45,3.45,3.45,3.9,3.25,4.28,2.99,3.17,3.17,3.25,3.17,2.45,1.71,2.99,3.3,2.8,4.28,2.75,4.28,2.15,13.36,3.46,2.06,2.15,2.45,3.15,3.76,3.76,3.43,2.8,3.9,2.15,2.15,2.15,2.06,2.75,13.36,13.36,13.36,3.25,3.4,3.92,3.46,13.36,2.15,1.71,4.28,3.92,2.15
2007-10-01,3.78,3.88,3.85,3.84,3.75,3.73,5.21,3.71,2.77,3.21,3.08,4.01,3.49,2.65,2.16,2.16,2.06,3.21,3.08,4.4,4.4,4.47,1.71,3.28,4.34,13.84,4.34,3.49,3.49,3.49,4.47,3.28,4.34,3.21,3.65,3.65,3.28,3.65,2.65,1.71,3.21,3.78,3.1,4.34,2.77,4.34,2.16,13.84,3.85,2.06,2.16,2.65,3.54,3.9,3.9,3.73,3.17,4.47,2.16,2.16,2.16,2.06,2.77,13.84,13.84,13.84,3.28,3.88,4.01,3.85,13.84,2.16,1.71,4.34,4.01,2.16
