,Abiemnhom,Abyei Region,Akobo,Aweil Centre,Aweil East,Aweil North,Aweil South,Aweil West,Awerial,Ayod,Baliet,Bor South,Budi,Canal-Pigi,Cueibet,Duk,Ezo,Fangak,Fashoda,Gogrial East,Gogrial West,Guit,Ibba,Ikotos,Juba,Jur River,Kajo-keji,Kapoeta East,Kapoeta North,Kapoeta South,Koch,Lafon,Lainya,Leer,Longochuk,Maban,Magwi,Maiwut,Malakal,Maridi,Mayendit,Mayom,Melut,Morobo,Mundri East,Mundri West,Mvolo,Nagero,Nyirol,Nzara,Panyijiar,Panyikang,Pariang,Pibor,Pochalla,Raja,Renk,Rubkona,Rumbek Centre,Rumbek East,Rumbek North,Tambura,Terekeka,Tonj East,Tonj North,Tonj South,Torit,Twic,Twic East,Uror,Wau,Wulu,Yambio,Yei,Yirol East,Yirol West
2020-01-31,100.0,667.0,28.0,386.0,439.0,711.0,137.0,580.0,27.0,54.0,11.0,61.0,22.0,159.0,94.0,18.0,719.0,89.0,19.0,62.0,175.0,28.0,145.0,56.0,4106.0,47.0,3691.0,4.0,27.0,36.0,58.0,89.0,404.0,10.0,9.0,34.0,2290.0,1.0,1702.0,268.0,6.0,68.0,473.0,4981.0,4.0,11.0,14.0,19.0,69.0,41.0,26.0,105.0,3.0,7.0,3.0,634.0,155.0,2081.0,63.0,29.0,15.0,1004.0,68.0,53.0,73.0,158.0,145.0,320.0,9.0,11.0,2772.0,21.0,473.0,2729.0,48.0,43.0
2020-02-29,51.0,0.0,48.0,348.0,486.0,586.0,96.0,559.0,12.0,42.0,8.0,277.0,60.0,50.0,120.0,40.0,567.0,96.0,0.0,30.0,101.0,49.0,104.0,38.0,5472.0,24.0,90.0,39.0,30.0,19.0,43.0,108.0,287.0,11.0,6.0,0.0,3535.0,0.0,883.0,183.0,12.0,216.0,133.0,7575.0,1.0,10.0,17.0,20.0,38.0,42.0,94.0,74.0,31.0,62.0,0.0,513.0,80.0,2767.0,127.0,89.0,46.0,898.0,99.0,33.0,70.0,150.0,37.0,310.0,0.0,16.0,1962.0,82.0,334.0,2740.0,211.0,61.0
2020-03-31,43.0,0.0,8.0,331.0,329.0,521.0,81.0,492.0,26.0,2.0,0.0,187.0,1.0,80.0,144.0,9.0,591.0,44.0,0.0,24.0,122.0,13.0,167.0,3.0,3626.0,33.0,32.0,9.0,13.0,2.0,7.0,5.0,381.0,0.0,0.0,0.0,1858.0,0.0,1037.0,226.0,2.0,26.0,17.0,6407.0,3.0,33.0,7.0,13.0,8.0,49.0,11.0,38.0,8.0,66.0,0.0,548.0,133.0,2331.0,147.0,42.0,29.0,884.0,22.0,68.0,62.0,209.0,76.0,401.0,0.0,17.0,2107.0,22.0,844.0,2583.0,84.0,61.0
2020-04-30,0.0,0.0,0.0,239.0,255.0,541.0,52.0,415.0,16.0,2.0,0.0,29.0,0.0,0.0,87.0,0.0,313.0,0.0,0.0,22.0,89.0,0.0,111.0,0.0,1660.0,20.0,507.0,0.0,4.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,80.0,0.0,707.0,216.0,0.0,8.0,10.0,1714.0,0.0,27.0,0.0,13.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,529.0,34.0,2437.0,122.0,20.0,21.0,199.0,5.0,45.0,58.0,185.0,22.0,53.0,0.0,0.0,1890.0,22.0,385.0,1274.0,3.0,13.0
2020-05-31,0.0,0.0,0.0,363.0,329.0,542.0,88.0,551.0,12.0,0.0,0.0,9.0,0.0,67.0,79.0,0.0,132.0,0.0,0.0,29.0,209.0,22.0,0.0,0.0,1001.0,42.0,517.0,0.0,1.0,2.0,2.0,3.0,20.0,0.0,0.0,0.0,55.0,0.0,601.0,0.0,6.0,2.0,118.0,2380.0,2.0,0.0,0.0,3.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,560.0,31.0,2385.0,56.0,27.0,10.0,151.0,1.0,28.0,72.0,105.0,9.0,168.0,0.0,0.0,2100.0,7.0,345.0,220.0,0.0,15.0
2020-06-30,0.0,0.0,0.0,372.0,355.0,529.0,80.0,429.0,20.0,0.0,0.0,15.0,0.0,261.0,72.0,0.0,147.0,0.0,0.0,39.0,168.0,7.0,3.0,0.0,1657.0,23.0,502.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,83.0,0.0,2632.0,0.0,22.0,16.0,378.0,2143.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,648.0,103.0,2387.0,58.0,31.0,7.0,210.0,8.0,38.0,56.0,89.0,8.0,121.0,0.0,0.0,2089.0,13.0,513.0,346.0,1.0,7.0
2020-07-31,21.0,0.0,2.0,413.0,329.0,893.0,104.0,454.0,9.0,2.0,0.0,12.0,0.0,59.0,71.0,0.0,320.0,1.0,1.0,29.0,122.0,3.0,0.0,1.0,3275.0,19.0,35.0,2.0,3.0,1.0,4.0,3.0,18.0,0.0,0.0,0.0,72.0,0.0,1575.0,1.0,8.0,4.0,29.0,2532.0,0.0,0.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,4.0,0.0,677.0,30.0,1903.0,59.0,32.0,3.0,343.0,3.0,31.0,59.0,87.0,5.0,151.0,0.0,0.0,2026.0,7.0,652.0,565.0,1.0,2.0
2020-08-31,0.0,0.0,91.0,328.0,346.0,929.0,115.0,439.0,10.0,2.0,1.0,7.0,0.0,66.0,59.0,0.0,226.0,1.0,1.0,28.0,68.0,18.0,2.0,4.0,2768.0,13.0,45.0,1.0,0.0,6.0,21.0,3.0,6.0,2.0,0.0,0.0,67.0,0.0,689.0,1.0,18.0,17.0,8.0,2224.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,415.0,38.0,1161.0,48.0,14.0,2.0,322.0,2.0,32.0,86.0,89.0,7.0,54.0,0.0,0.0,1490.0,9.0,735.0,664.0,3.0,9.0
2020-09-30,6.0,0.0,21.0,199.0,326.0,970.0,115.0,567.0,8.0,2.0,0.0,12.0,0.0,47.0,76.0,0.0,358.0,0.0,0.0,11.0,58.0,51.0,0.0,0.0,2602.0,9.0,37.0,0.0,4.0,1.0,27.0,4.0,5.0,0.0,0.0,0.0,58.0,0.0,713.0,1.0,3.0,24.0,0.0,1746.0,0.0,3.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,595.0,5.0,1269.0,60.0,9.0,2.0,536.0,1.0,10.0,63.0,115.0,4.0,53.0,0.0,0.0,1449.0,4.0,879.0,495.0,0.0,11.0
2020-10-31,0.0,0.0,32.0,59.0,462.0,1187.0,93.0,798.0,15.0,0.0,0.0,10.0,0.0,0.0,43.0,0.0,281.0,0.0,0.0,18.0,126.0,37.0,0.0,0.0,3662.0,22.0,39.0,0.0,0.0,0.0,26.0,0.0,4.0,0.0,0.0,0.0,102.0,0.0,360.0,2.0,35.0,21.0,0.0,2009.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,654.0,40.0,1475.0,45.0,15.0,5.0,531.0,5.0,32.0,74.0,131.0,16.0,140.0,0.0,0.0,1866.0,9.0,527.0,496.0,3.0,24.0
2020-11-30,24.0,0.0,0.0,80.0,545.0,1028.0,109.0,821.0,14.0,0.0,0.0,2.0,0.0,39.0,38.0,0.0,530.0,21.0,0.0,23.0,115.0,32.0,0.0,0.0,3195.0,11.0,18.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,683.0,5.0,0.0,3.0,87.0,2314.0,0.0,0.0,0.0,4.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,519.0,30.0,1570.0,48.0,6.0,3.0,292.0,3.0,47.0,91.0,152.0,12.0,135.0,0.0,0.0,2112.0,6.0,576.0,584.0,1.0,52.0
2020-12-31,8.0,0.0,0.0,74.0,298.0,437.0,111.0,671.0,6.0,0.0,0.0,0.0,0.0,30.0,67.0,0.0,396.0,83.0,0.0,24.0,111.0,7.0,0.0,0.0,2634.0,22.0,6.0,0.0,0.0,0.0,15.0,0.0,3.0,6.0,0.0,0.0,10.0,0.0,1041.0,0.0,2.0,9.0,38.0,2286.0,0.0,0.0,0.0,6.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,578.0,23.0,1255.0,31.0,7.0,5.0,308.0,3.0,18.0,71.0,115.0,4.0,148.0,0.0,0.0,1785.0,4.0,482.0,1137.0,0.0,30.0
2021-01-31,18.0,0.0,0.0,96.0,571.0,532.0,117.0,764.0,11.0,0.0,0.0,0.0,0.0,83.0,63.0,0.0,337.0,34.0,0.0,26.0,87.0,2.0,0.0,0.0,1931.0,19.0,0.0,0.0,0.0,17.0,8.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,1530.0,3.0,0.0,7.0,267.0,3474.0,0.0,6.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,401.0,60.0,285.0,55.0,5.0,2.0,422.0,0.0,4.0,118.0,159.0,3.0,136.0,0.0,0.0,1987.0,9.0,267.0,1413.0,2.0,13.0
2021-02-28,19.0,0.0,0.0,61.0,260.0,455.0,73.0,566.0,5.0,0.0,0.0,0.0,0.0,86.0,41.0,0.0,41.0,52.0,0.0,8.0,77.0,9.0,11.0,0.0,2093.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,7.0,3.0,0.0,0.0,88.0,0.0,1178.0,34.0,5.0,11.0,157.0,5083.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,26.0,26.0,282.0,42.0,0.0,4.0,370.0,3.0,2.0,83.0,127.0,1.0,140.0,0.0,0.0,1616.0,8.0,415.0,2294.0,0.0,10.0
2021-03-31,15.0,0.0,0.0,63.0,146.0,908.0,101.0,571.0,8.0,0.0,0.0,2.0,0.0,51.0,50.0,0.0,17.0,312.0,0.0,20.0,81.0,10.0,45.0,0.0,2373.0,15.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,68.0,0.0,1221.0,82.0,0.0,3.0,106.0,6520.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,25.0,62.0,760.0,43.0,7.0,5.0,494.0,5.0,22.0,39.0,131.0,3.0,153.0,0.0,0.0,1990.0,12.0,477.0,2542.0,0.0,6.0
2021-04-30,3.0,0.0,0.0,69.0,148.0,693.0,108.0,596.0,7.0,0.0,0.0,0.0,0.0,49.0,40.0,0.0,47.0,68.0,0.0,35.0,79.0,1.0,120.0,0.0,1492.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,138.0,0.0,1327.0,131.0,2.0,5.0,129.0,5655.0,0.0,0.0,0.0,3.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,16.0,58.0,835.0,49.0,3.0,8.0,430.0,1.0,21.0,37.0,158.0,3.0,144.0,0.0,0.0,1855.0,6.0,412.0,515.0,0.0,2.0
